Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Arizona Cardinals,DST,ARI,8.6,0.8,0.7,3.0, ,0.2
Cincinnati Bengals,DST,CIN,7.9,1.3,0.4,3.0, ,0.2
Carolina Panthers,DST,CAR,7.7,1.0,0.6,3.1, ,0.2
Washington Redskins,DST,WAS,7.2,0.9,0.7,3.3, ,0.2
Baltimore Ravens,DST,BAL,6.9,0.8,0.4,2.1, ,0.2
Chicago Bears,DST,CHI,6.5,0.9,0.6,3.0, ,0.2
Pittsburgh Steelers,DST,PIT,6.4,0.8,0.5,2.6, ,0.2
Minnesota Vikings,DST,MIN,5.9,0.8,0.4,2.2, ,0.2
Atlanta Falcons,DST,ATL,5.9,0.5,0.4,2.9, ,0.2
Los Angeles Chargers,DST,LAC,5.9,0.9,0.4,2.8, ,0.2
Indianapolis Colts,DST,IND,5.9,0.6,0.5,2.4, ,0.2
Houston Texans,DST,HOU,5.7,0.5,0.6,2.3, ,0.2
Tampa Bay Buccaneers,DST,TB,5.7,0.5,0.4,2.8, ,0.2
Tennessee Titans,DST,TEN,5.5,1.0,0.5,1.7, ,0.2
Green Bay Packers,DST,GB,5.5,0.4,0.3,3.1, ,0.0
Oakland Raiders,DST,OAK,5.4,0.8,0.3,1.9, ,0.1
New Orleans Saints,DST,NO,5.3,0.6,0.5,3.0, ,0.2
Seattle Seahawks,DST,SEA,5.2,0.5,0.5,2.8, ,0.2
Kansas City Chiefs,DST,KC,4.8,0.7,0.6,2.5, ,0.2
Detroit Lions,DST,DET,4.6,0.6,0.5,2.3, ,0.2
Dallas Cowboys,DST,DAL,4.6,0.4,0.5,2.6, ,0.1
Jacksonville Jaguars,DST,JAX,4.6,0.8,0.4,1.6, ,0.2
Los Angeles Rams,DST,LAR,4.5,0.8,0.5,2.4, ,0.2
Denver Broncos,DST,DEN,3.8,0.5,0.4,1.7, ,0.2
New York Giants,DST,NYG,3.8,1.3,0.5,1.7, ,0.2
Philadelphia Eagles,DST,PHI,3.0,0.4,0.5,1.8, ,0.1
Buffalo Bills,DST,BUF,,,,, ,
Cleveland Browns,DST,CLE,,,,, ,
Miami Dolphins,DST,MIA,,,,, ,
New England Patriots,DST,NE,,,,, ,
New York Jets,DST,NYJ,,,,, ,
San Francisco 49ers,DST,SF,,,,, ,
