Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Return Yds,PA,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Chicago Bears,CHI,1.0,2.0,2.0,1.0,1.0,1.0,53.0,20.0,0.0,1.0,0.0,0.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,1.0,0.0,0.0,0.0,81.0,24.0,0.0,0.0,1.0,0.0,0.0,403.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,3.0,2.0,0.0,0.0,0.0,64.0,22.0,0.0,0.0,1.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,4.0,0.0,0.0,1.0,0.0,147.0,32.0,0.0,0.0,0.0,1.0,0.0,359.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,4.0,0.0,0.0,0.0,0.0,70.0,23.0,0.0,0.0,1.0,0.0,0.0,325.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,0.0,0.0,0.0,0.0,0.0,72.0,23.0,0.0,0.0,1.0,0.0,0.0,325.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,0.0,2.0,3.0,1.0,229.0,42.0,0.0,0.0,0.0,0.0,1.0,455.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,5.0,2.0,0.0,1.0,0.0,84.0,10.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,354.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,0.0,0.0,0.0,0.0,0.0,112.0,48.0,0.0,0.0,0.0,0.0,1.0,546.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Atlanta Falcons,ATL,1.0,2.0,0.0,0.0,1.0,0.0,48.0,22.0,0.0,0.0,1.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,1.0,4.0,0.0,1.0,1.0,143.0,35.0,0.0,0.0,0.0,0.0,1.0,510.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,3.0,0.0,0.0,0.0,61.0,20.0,0.0,1.0,0.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,0.0,0.0,0.0,30.0,19.0,0.0,1.0,0.0,0.0,0.0,387.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,0.0,1.0,2.0,0.0,51.0,27.0,0.0,0.0,1.0,0.0,0.0,378.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,0.0,0.0,0.0,0.0,33.0,20.0,0.0,1.0,0.0,0.0,0.0,309.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,2.0,0.0,0.0,0.0,84.0,21.0,0.0,0.0,1.0,0.0,0.0,282.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,3.0,3.0,2.0,2.0,2.0,75.0,45.0,0.0,0.0,0.0,0.0,1.0,546.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Baltimore Ravens,BAL,1.0,1.0,0.0,0.0,0.0,0.0,81.0,21.0,0.0,0.0,1.0,0.0,0.0,255.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,2.0,1.0,2.0,0.0,78.0,17.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,3.0,3.0,0.0,0.0,0.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,196.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,5.0,0.0,0.0,0.0,0.0,47.0,24.0,0.0,0.0,1.0,0.0,0.0,359.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,6.0,0.0,1.0,2.0,0.0,57.0,16.0,0.0,1.0,0.0,0.0,0.0,243.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,5.0,2.0,0.0,1.0,1.0,34.0,21.0,0.0,0.0,1.0,0.0,0.0,278.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,0.0,0.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,397.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,2.0,1.0,1.0,0.0,67.0,19.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
