Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Chicago Bears,DST,CHI,19.4,339.2,0.9,0.8,2.6,0.0,0.2
Arizona Cardinals,DST,ARI,17.1,312.7,1.0,0.7,2.7,0.0,0.2
Pittsburgh Steelers,DST,PIT,19.8,325.1,1.0,0.7,2.5,0.1,0.2
Baltimore Ravens,DST,BAL,18.9,318.9,0.9,0.6,2.6,0.0,0.2
Washington Redskins,DST,WAS,23.4,369.9,1.0,0.8,3.1,0.0,0.2
Carolina Panthers,DST,CAR,24.3,361.5,1.0,0.7,3.1,0.0,0.2
Los Angeles Chargers,DST,LAC,21.5,398.0,1.0,0.6,2.9,0.0,0.2
New York Giants,DST,NYG,25.8,403.1,1.2,0.6,1.7,0.0,0.3
New Orleans Saints,DST,NO,24.8,394.2,0.8,0.7,2.8,0.0,0.2
Indianapolis Colts,DST,IND,24.0,345.2,0.9,0.7,2.5,0.0,0.2
Seattle Seahawks,DST,SEA,24.4,389.5,0.7,0.7,3.0,0.0,0.2
Atlanta Falcons,DST,ATL,25.8,395.6,0.7,0.7,2.9,0.0,0.2
Cincinnati Bengals,DST,CIN,24.9,355.7,1.1,0.6,2.3,0.0,0.2
Kansas City Chiefs,DST,KC,34.6,460.7,0.8,0.7,2.1,0.1,0.2
Minnesota Vikings,DST,MIN,23.4,345.3,0.8,0.6,2.4,0.1,0.2
Los Angeles Rams,DST,LAR,31.8,436.5,0.9,0.6,2.2,0.0,0.2
Detroit Lions,DST,DET,28.3,419.0,0.7,0.7,2.4,0.0,0.2
Green Bay Packers,DST,GB,27.3,372.1,0.7,0.6,3.0,0.0,0.2
Tampa Bay Buccaneers,DST,TB,26.7,385.0,0.7,0.7,2.4,0.0,0.2
Tennessee Titans,DST,TEN,25.5,364.3,0.9,0.6,2.1,0.1,0.2
Oakland Raiders,DST,OAK,23.4,343.1,1.0,0.6,2.1,0.0,0.2
Houston Texans,DST,HOU,20.5,315.3,0.7,0.7,2.3,0.0,0.2
Jacksonville Jaguars,DST,JAX,25.9,394.6,1.0,0.6,1.7,0.1,0.2
Dallas Cowboys,DST,DAL,27.2,381.9,0.6,0.7,2.4,0.0,0.2
Denver Broncos,DST,DEN,28.6,386.1,0.8,0.5,2.0,0.0,0.2
Philadelphia Eagles,DST,PHI,32.2,413.4,0.6,0.7,1.8,0.0,0.1
