Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,2.47,0.03,0.48,0.59,0.43,0.2,K
Chris Boswell,PIT,1.0,2.24,0.03,0.48,0.49,0.43,0.2,K
Matt Bryant,ATL,1.0,2.0,0.0,0.47,0.61,0.44,0.27,K
Randy Bullock,CIN,1.0,2.93,0.0,0.48,0.49,0.46,0.26,K
Harrison Butker,KC,1.0,2.86,0.01,0.48,0.51,0.46,0.21,K
Chandler Catanzaro,CAR,1.0,2.59,0.02,0.48,0.53,0.47,0.18,K
Mason Crosby,GB,1.0,1.84,0.06,0.48,0.46,0.47,0.23,K
Phil Dawson,ARI,1.0,2.46,0.02,0.48,0.54,0.4,0.21,K
Jake Elliott,PHI,1.0,2.38,0.0,0.48,0.51,0.46,0.17,K
Ka'imi Fairbairn,HOU,1.0,2.04,0.0,0.48,0.46,0.4,0.22,K
Sam Ficken,,1.0,2.29,0.0,0.48,0.38,0.41,0.12,K
Graham Gano,CAR,1.0,2.55,0.04,0.48,0.64,0.41,0.2,K
Stephen Gostkowski,NE,1.0,2.78,0.06,0.48,0.5,0.43,0.23,K
Robbie Gould,SF,1.0,2.82,0.03,0.48,0.5,0.51,0.24,K
Stephen Hauschka,BUF,1.0,1.2,0.03,0.48,0.46,0.53,0.28,K
Dustin Hopkins,WAS,1.0,2.22,0.05,0.48,0.52,0.38,0.19,K
Sebastian Janikowski,SEA,1.0,1.73,0.04,0.48,0.51,0.35,0.22,K
Greg Joseph,CLE,1.0,1.7,0.0,0.48,0.34,0.38,0.17,K
Josh Lambo,JAX,1.0,2.58,0.04,0.48,0.58,0.54,0.25,K
Wil Lutz,NO,1.0,1.68,0.01,0.48,0.51,0.49,0.25,K
Brett Maher,DAL,1.0,1.82,0.04,0.48,0.59,0.34,0.16,K
Brandon McManus,DEN,1.0,1.57,0.0,0.48,0.51,0.42,0.21,K
Jason Myers,NYJ,1.0,1.58,0.11,0.48,0.5,0.5,0.18,K
Mike Nugent,OAK,1.0,1.79,0.02,0.56,0.55,0.47,0.17,K
Cody Parkey,CHI,1.0,2.42,0.09,0.48,0.55,0.56,0.25,K
Matt Prater,DET,1.0,2.46,0.09,0.48,0.5,0.38,0.23,K
Aldrick Rosas,NYG,1.0,1.59,0.01,0.57,0.62,0.52,0.15,K
Jason Sanders,MIA,1.0,2.18,0.06,0.48,0.39,0.39,0.14,K
Caleb Sturgis,,1.0,2.34,0.04,0.48,0.57,0.39,0.21,K
Ryan Succop,TEN,1.0,1.0,0.02,0.48,0.46,0.43,0.24,K
Justin Tucker,BAL,1.0,2.08,0.04,0.48,0.57,0.48,0.29,K
Adam Vinatieri,IND,1.0,1.57,0.03,0.48,0.51,0.46,0.24,K
