Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Justin Tucker, Bal K",Den,W 27-14,1.3/1.3,0.6/0.7,0.3/0.4,2.2/2.4,2.2/2.2,9.6,K
"Sam Ficken, FA K",** BYE **,1.2/1.3,0.6/0.7,0.2/0.4,2/2.5,2.4/2.6,--,,K
"Stephen Gostkowski, NE K",@Det,L 10-26,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,3.3/3.5,9.1,K
"Chris Boswell*, Pit K IR",@TB,W 30-27,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.5/2.6,8.9,K
"Matt Prater, Det K",NE,W 26-10,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.4/2.4,8.8,K
"Robbie Gould, SF K",@KC,L 27-38,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.5/2.6,8.8,K
"Matt Bryant, Atl K",NO,L 37-43,1.1/1.2,0.5/0.6,0.2/0.3,1.9/2.1,2.5/2.6,8.8,K
"Harrison Butker, KC K",SF,W 38-27,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.8/2.9,8.7,K
"Dan Bailey, Min K",Buf,L 6-27,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.7/2.9,8.5,K
"Graham Gano*, Car K IR",Cin,W 31-21,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,2.3/2.4,8.4,K
"Jake Elliott, Phi K",Ind,W 20-16,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.7/2.9,8.3,K
"Josh Lambo*, Jax K IR",Ten,L 6-9,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.1/2.2,8.1,K
"Wil Lutz, NO K",@Atl,W 43-37,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2.6/2.8,8,K
"Dustin Hopkins, Wsh K",GB,W 31-17,1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.6,8,K
"Chandler Catanzaro, Car K",Cin,W 31-21,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.3/2.5,7.9,K
"Randy Bullock, Cin K",@Car,L 21-31,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.2/2.3,7.8,K
"Mason Crosby, GB K",@Wsh,L 17-31,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,2.6/2.8,7.8,K
"Cody Parkey, Chi K",@Ari,W 16-14,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2.3/2.5,7.7,K
"Sebastian Janikowski, Sea K Q",Dal,W 24-13,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2.3/2.5,7.7,K
"Ka'imi Fairbairn, Hou K",NYG,L 22-27,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,2.5/2.7,7.5,K
"Greg Joseph, Cle K",NYJ,W 21-17,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2.2/2.4,7.5,K
"Adam Vinatieri, Ind K",@Phi,L 16-20,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.1,7.4,K
"Jason Sanders, Mia K",Oak,W 28-20,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,2.1/2.3,7.1,K
"Mike Nugent*, Oak K IR",@Mia,L 20-28,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,2/2.2,6.9,K
"Brett Maher, Dal K",@Sea,L 13-24,0.9/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.1/2.3,6.9,K
"Ryan Succop, Ten K",@Jax,W 9-6,0.9/1,0.4/0.5,0.2/0.3,1.6/1.8,1.7/1.7,6.9,K
"Caleb Sturgis, LAC K",@LAR,L 23-35,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,1.7/1.9,6.8,K
"Brandon McManus, Den K",@Bal,L 14-27,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,1.7/1.8,6.8,K
"Jason Myers, NYJ K",@Cle,L 17-21,0.9/1,0.4/0.6,0.2/0.3,1.5/1.8,1.7/1.9,6.8,K
"Phil Dawson*, Ari K IR",Chi,L 14-16,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,1.7/1.9,6.6,K
"Stephen Hauschka, Buf K",@Min,W 27-6,0.9/1,0.4/0.5,0.2/0.3,1.6/1.8,1.3/1.3,6.5,K
"Aldrick Rosas, NYG K",@Hou,W 27-22,0.8/1,0.4/0.5,0.1/0.3,1.4/1.8,1.6/1.9,6,K
"Nick Novak, LAC K",@LAR,L 23-35,0/0,0/0,0/0,0/0,0/0,0,K
"Nick Folk, TB K",Pit,L 27-30,0/0,0/0,0/0,0/0,0/0,0,K
"Dan Carpenter, Buf K",@Min,W 27-6,0/0,0/0,0/0,0/0,0/0,0,K
"Connor Barth, Chi K",@Ari,W 16-14,0/0,0/0,0/0,0/0,0/0,0,K
"Kai Forbath, Jax K",Ten,L 6-9,0/0,0/0,0/0,0/0,0/0,0,K
"Greg Zuerlein, LAR K",LAC,W 35-23,0/0,0/0,0/0,0/0,0/0,0,K
"Blair Walsh, Sea K",Dal,W 24-13,0/0,0/0,0/0,0/0,0/0,0,K
"Giorgio Tavecchio, Atl K",NO,L 37-43,0/0,0/0,0/0,0/0,0/0,0,K
"Travis Coons, LAC K",@LAR,L 23-35,0/0,0/0,0/0,0/0,0/0,0,K
"Cairo Santos, TB K",Pit,L 27-30,0/0,0/0,0/0,0/0,0/0,0,K
"Kasey Redfern, Det K Q",NE,W 26-10,0/0,0/0,0/0,0/0,0/0,0,K
"Patrick Murray, TB K",Pit,L 27-30,0/0,0/0,0/0,0/0,0/0,0,K
"Andrew Franks, Mia K",Oak,W 28-20,0/0,0/0,0/0,0/0,0/0,0,K
"Roberto Aguayo, LAC K",@LAR,L 23-35,0/0,0/0,0/0,0/0,0/0,0,K
"Zane Gonzalez, Ari K",Chi,L 14-16,0/0,0/0,0/0,0/0,0/0,0,K
"Younghoe Koo, LAC K",@LAR,L 23-35,0/0,0/0,0/0,0/0,0/0,0,K
"Nick Rose, Hou K",NYG,L 22-27,0/0,0/0,0/0,0/0,0/0,0,K
"Daniel Carlson, Oak K",@Mia,L 20-28,0/0,0/0,0/0,0/0,0/0,0,K
"Eddy Pineiro*, Oak K IR",@Mia,L 20-28,0/0,0/0,0/0,0/0,0/0,0,K
"Matt McCrane, Pit K",@TB,W 30-27,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Badgley, LAC K",@LAR,L 23-35,--/--,--/--,--/--,--/--,--/--,--,K
