Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Justin Tucker,BAL,DEN,3,0,2,0,11.0,K
Greg Joseph,CLE,NYJ,3,0,1,0,10.0,K
Dan Bailey,MIN,BUF,2,0,3,0,9.0,K
Randy Bullock,CIN,@CAR,2,0,3,0,9.0,K
Chandler Catanzaro,TB,PIT,2,0,3,0,9.0,K
Mason Crosby,GB,@WAS,2,0,3,0,9.0,K
Ka'imi Fairbairn,HOU,NYG,2,0,3,0,9.0,K
Sam Ficken,LAR,LAC,2,0,3,0,9.0,K
Robbie Gould,SF,@KC,2,0,3,0,9.0,K
Josh Lambo,JAC,TEN,2,0,3,0,9.0,K
Wil Lutz,NO,@ATL,2,0,3,0,9.0,K
Matt Prater,DET,NE,2,0,3,0,9.0,K
Jake Elliott,PHI,IND,2,0,2,0,8.0,K
Dustin Hopkins,WAS,GB,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,DAL,2,0,2,0,8.0,K
Brandon McManus,DEN,@BAL,2,0,2,0,8.0,K
Jason Myers,NYJ,@CLE,2,0,2,0,8.0,K
Cody Parkey,CHI,@ARI,2,0,2,0,8.0,K
Aldrick Rosas,NYG,@HOU,2,0,2,0,8.0,K
Caleb Sturgis,LAC,@LAR,2,0,2,0,8.0,K
Ryan Succop,TEN,@JAC,2,0,2,0,8.0,K
Adam Vinatieri,IND,@PHI,2,0,2,0,8.0,K
Chris Boswell,PIT,@TB,1,0,4,0,7.0,K
Harrison Butker,KC,SF,1,0,4,0,7.0,K
Matt Bryant,ATL,NO,1,0,3,0,6.0,K
Graham Gano,CAR,CIN,1,0,3,0,6.0,K
Stephen Gostkowski,NE,@DET,1,0,3,0,6.0,K
Jason Sanders,MIA,OAK,1,0,3,0,6.0,K
Brett Maher,DAL,@SEA,1,0,2,0,5.0,K
Phil Dawson,ARI,CHI,1,0,1,0,4.0,K
Steve Hauschka,BUF,@MIN,1,0,1,0,4.0,K
Mike Nugent,OAK,@MIA,0,0,3,0,3.0,K
