Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Demetrius Harris, KC TE",SF,W 38-27,0/0,0,0,0,0,0,0,1.1,11.2,0.1,2.9,TE
"Tyler Conklin, Min TE",Buf,L 6-27,0/0,0,0,0,0,0,0,1,11.6,0.1,2.9,TE
"Dwayne Allen, NE TE",@Det,L 10-26,0/0,0,0,0,0,0,0,1,10.6,0.1,2.7,TE
"Luke Willson, Det TE Q",NE,W 26-10,0/0,0,0,0,0,0,0,1,11.6,0.1,2.7,TE
"Rico Gathers, Dal TE",@Sea,L 13-24,0/0,0,0,0,0,0,0,1,11.1,0.1,2.6,TE
"Darren Fells, Cle TE",NYJ,W 21-17,0/0,0,0,0,0,0,0,1,10.8,0.1,2.6,TE
"Josh Hill, NO TE",@Atl,W 43-37,0/0,0,0,0,0,0,0,1,9.5,0.1,2.6,TE
"Tyler Kroft*, Cin TE IR",@Car,L 21-31,0/0,0,0,0,0,0,0,0.9,9.5,0.1,2.4,TE
"Rhett Ellison, NYG TE Q",@Hou,W 27-22,0/0,0,0,0,0,0,0,1.1,9.1,0.1,2.3,TE
"Garrett Celek, SF TE Q",@KC,L 27-38,0/0,0,0,0,0,0,0,0.8,9.5,0.1,2.1,TE
"MyCole Pruitt, Ten TE",@Jax,W 9-6,0/0,0,0,0,0,0,0,0.9,8.7,0.1,2.1,TE
"Levine Toilolo, Det TE",NE,W 26-10,0/0,0,0,0,0,0,0,0.8,7.5,0.1,2,TE
"Michael Roberts*, Det TE IR",NE,W 26-10,0/0,0,0,0,0,0,0,0.8,7.8,0.1,2,TE
"Dallas Goedert, Phi TE",Ind,W 20-16,0/0,0,0,0,0,0,0,0.6,7.4,0.1,2,TE
"Derek Carrier, Oak TE Q",@Mia,L 20-28,0/0,0,0,0,0,0,0,0.7,7.5,0,1.8,TE
"Lance Kendricks, GB TE",@Wsh,L 17-31,0/0,0,0,0,0,0,0,0.6,6.5,0.1,1.7,TE
"Eric Saubert, Atl TE",NO,L 37-43,0/0,0,0,0,0,0,0,0.4,4.8,0,1.2,TE
"Jordan Thomas, Hou TE",NYG,L 22-27,0/0,0,0,0,0,0,0,0.4,4.6,0,1.2,TE
"Blake Jarwin, Dal TE",@Sea,L 13-24,0/0,0,0,0,0,0,0,0.4,4.4,0,1.1,TE
"Chris Manhertz, Car TE",Cin,W 31-21,0/0,0,0,0,0,0,0,0.4,4.3,0,1.1,TE
"James O'Shaughnessy, Jax TE",Ten,L 6-9,0/0,0,0,0,0,0,0,0.4,4.5,0,1,TE
"Khari Lee, Buf TE",@Min,W 27-6,0/0,0,0,0,0,0,0,0.4,4.4,0,1,TE
"Niles Paul, Jax TE Q",Ten,L 6-9,0/0,0,0,0,0,0,0,0.3,3.8,0,0.8,TE
"Alan Cross*, TB TE IR",Pit,L 27-30,0/0,0,0,0,0,0,0,0.2,2.5,0,0.6,TE
"Marcedes Lewis, GB TE",@Wsh,L 17-31,0/0,0,0,0,0,0,0,0.2,2.3,0,0.6,TE
"Matt LaCosse, Den TE",@Bal,L 14-27,0/0,0,0,0,0,0,0,0.2,2.5,0,0.6,TE
"Logan Paulsen, Atl TE",NO,L 37-43,0/0,0,0,0,0,0,0,0.2,2.3,0,0.6,TE
"Scott Simonson, NYG TE",@Hou,W 27-22,0/0,0,0,0,0,0,0,0.2,2.5,0,0.6,TE
"Sean Culkin, LAC TE",@LAR,L 23-35,0/0,0,0,0,0,0,0,0.2,2.4,0,0.6,TE
"Durham Smythe, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,0.2,2.3,0,0.6,TE
"Ben Braunecker, Chi TE",@Ari,W 16-14,0/0,0,0,0,0,0,0,0.2,2.4,0,0.6,TE
"Gabe Holmes, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,0.2,2.4,0,0.6,TE
"Jordan Leggett, NYJ TE",@Cle,L 17-21,0/0,0,0,0,0,0,0,0.2,2.4,0,0.6,TE
"Orson Charles*, Cle TE IR",NYJ,W 21-17,0/0,0,0,0,0,0,0,0.2,2,0,0.5,TE
"Xavier Grimble, Pit TE",@TB,W 30-27,0/0,0,0,0,0,0,0,0.1,1.4,0,0.3,TE
"Antony Auclair, TB TE",Pit,L 27-30,0/0,0,0,0,0,0,0,0.1,1.2,0,0.3,TE
"Jeremy Sprinkle, Wsh TE",GB,W 31-17,0/0,0,0,0,0,0,0,0.1,1.3,0,0.3,TE
"Lee Smith, Oak TE",@Mia,L 20-28,0/0,0,0,0,0,0,0,0.1,1.1,0,0.3,TE
"Alex Ellis*, KC TE IR",SF,W 38-27,0/0,0,0,0,0,0,0,0.1,1.1,0,0.3,TE
"Johnny Mundt, LAR TE",LAC,W 35-23,0/0,0,0,0,0,0,0,0.1,1.1,0,0.3,TE
"Jason Witten, FA TE",** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,,TE
"Anthony Fasano, Mia TE",Oak,W 28-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Delanie Walker*, Ten TE IR",@Jax,W 9-6,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Greg Olsen*, Car TE IR",Cin,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Brent Celek, Phi TE",Ind,W 20-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Martellus Bennett, FA TE",** BYE **,0/0,0,0,0,0,0,0,0,0,0,--,,TE
