Player,Team,GP,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,2PT,Tack,Ast,Fum Rec,POS
George Kittle,SF,1.0,5.0,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,4.0,112.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Niles Paul,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Logan Paulsen,ATL,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,4.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ian Thomas,CAR,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,1.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,5.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cole Wick,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
