Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.04,0.0,0.96,9.14,0.07,TE
Dwayne Allen,NE,1.0,0.03,0.0,0.35,2.62,0.03,TE
Mark Andrews,BAL,1.0,0.05,0.0,1.35,16.85,0.11,TE
Antony Auclair,TB,1.0,0.03,0.0,0.08,1.23,0.02,TE
Nick Boyle,BAL,1.0,0.04,0.0,2.51,24.73,0.11,TE
Cameron Brate,TB,1.0,0.03,0.0,1.23,15.14,0.18,TE
Ben Braunecker,CHI,1.0,0.03,0.0,0.08,1.96,0.02,TE
Daniel Brown,CHI,1.0,0.03,0.0,0.38,4.96,0.03,TE
Trey Burton,CHI,1.0,1.46,0.01,2.83,26.94,0.22,TE
Jake Butt,DEN,1.0,0.12,0.0,2.42,27.06,0.2,TE
Derek Carrier,OAK,1.0,0.03,0.0,0.63,6.32,0.04,TE
Garrett Celek,SF,1.0,0.03,0.0,1.31,15.38,0.1,TE
Charles Clay,BUF,1.0,0.17,0.0,2.85,30.32,0.17,TE
Tyler Conklin,MIN,1.0,0.09,0.0,1.32,15.41,0.09,TE
Jared Cook,OAK,1.0,0.07,0.0,4.13,53.38,0.28,TE
Jason Croom,BUF,1.0,0.06,0.0,0.97,10.97,0.07,TE
Alan Cross,TB,1.0,0.03,0.0,0.49,5.36,0.07,TE
Sean Culkin,LAC,1.0,0.04,0.0,0.22,2.21,0.03,TE
Darrell Daniels,ARI,1.0,0.03,0.0,0.16,3.26,0.02,TE
Vernon Davis,WAS,1.0,0.03,0.0,1.31,15.87,0.13,TE
A.J. Derby,MIA,1.0,0.07,0.0,1.48,15.53,0.11,TE
Will Dissly,SEA,1.0,0.12,0.0,2.78,37.51,0.31,TE
Eric Ebron,IND,1.0,0.08,0.0,5.69,67.56,0.49,TE
Tyler Eifert,CIN,1.0,0.03,0.0,2.96,32.69,0.2,TE
Alex Ellis,KC,1.0,0.03,0.0,0.14,2.26,0.02,TE
Rhett Ellison,NYG,1.0,0.08,0.0,1.48,13.99,0.09,TE
Evan Engram,NYG,1.0,0.56,0.0,4.83,44.65,0.32,TE
Zach Ertz,PHI,1.0,0.08,0.0,6.31,69.89,0.44,TE
Gerald Everett,LAR,1.0,0.05,0.0,0.8,7.69,0.05,TE
Darren Fells,CLE,1.0,0.07,0.0,1.07,11.31,0.07,TE
Antonio Gates,LAC,1.0,0.02,0.0,1.5,16.76,0.12,TE
Rico Gathers,DAL,1.0,0.04,0.0,0.6,7.19,0.05,TE
Mike Gesicki,MIA,1.0,0.08,0.0,1.11,13.72,0.1,TE
Dallas Goedert,PHI,1.0,0.05,0.0,0.54,6.85,0.04,TE
Jimmy Graham,GB,1.0,0.11,0.0,3.91,42.39,0.31,TE
Virgil Green,LAC,1.0,0.11,0.0,1.5,15.65,0.08,TE
