Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tom Brady, NE QB",@TB,W 19-14,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mike Vick, Pit QB",Jax,L 9-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Brees, NO QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Josh McCown, NYJ QB",@Cle,W 17-14,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Shaun Hill, Min QB",@Chi,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Carson Palmer, Ari QB",@Phi,L 7-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tony Romo, Dal QB",GB,L 31-35,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Eli Manning, NYG QB",LAC,L 22-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Philip Rivers, LAC QB",@NYG,W 27-22,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ben Roethlisberger, Pit QB",Jax,L 9-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Schaub, Atl QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Luke McCown, Dal QB",GB,L 31-35,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Alex Smith, Wsh QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Aaron Rodgers, GB QB",@Dal,W 35-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan Orlovsky, LAR QB",Sea,L 10-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Derek Anderson, Car QB",@Det,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Cassel, Det QB",Car,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Fitzpatrick, TB QB",NE,L 14-19,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jay Cutler, Mia QB",Ten,W 16-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Clemens, LAC QB",@NYG,W 27-22,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tarvaris Jackson, Sea QB",@LAR,W 16-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Charlie Whitehurst, Cle QB",NYJ,L 14-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Bruce Gradkowski, Pit QB",Jax,L 9-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Stanton, Cle QB",NYJ,L 14-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Moore, Mia QB",Ten,W 16-10,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Ryan, Atl QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Joe Flacco, Bal QB",@Oak,W 30-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Chad Henne, KC QB",@Hou,W 42-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Johnson, Oak QB",Bal,L 17-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Flynn, NO QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Chase Daniel, Chi QB",Min,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh Freeman, Ind QB",SF,W 26-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Brian Hoyer, NE QB",@TB,W 19-14,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mark Sanchez, Chi QB",Min,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matthew Stafford, Det QB",Car,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Sam Bradford, Ari QB",@Phi,L 7-34,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jimmy Clausen, Bal QB",@Oak,W 30-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Colt McCoy, Wsh QB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,QB
"Dan LeFevour, TB QB",NE,L 14-19,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Joe Webb, Hou QB",KC,L 34-42,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Thaddeus Lewis, Bal QB",@Oak,W 30-17,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Christian Ponder, SF QB",@Ind,L 23-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Blaine Gabbert, Ten QB",@Mia,L 10-16,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Cam Newton, Car QB",@Det,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,QB
