Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,14.0,8.0,6.0,95.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Bradford,,1.0,11.0,5.0,6.0,36.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,40.0,30.0,10.0,303.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,34.0,22.0,12.0,314.0,0.0,1.0,4.0,1.0,0.0,0.0,8.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Cassel,DET,1.0,32.0,21.0,11.0,141.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Jay Cutler,,1.0,26.0,12.0,14.0,92.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,36.0,22.0,14.0,328.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,26.0,19.0,7.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jared Goff,LA,1.0,47.0,22.0,25.0,288.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Kevin Hogan,DEN,1.0,19.0,16.0,3.0,194.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,46.0,29.0,17.0,353.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-9.0,QB
Case Keenum,DEN,1.0,21.0,17.0,4.0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
DeShone Kizer,GB,1.0,17.0,8.0,9.0,87.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0,QB
Eli Manning,NYG,1.0,36.0,21.0,15.0,225.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,QB
EJ Manuel,,1.0,26.0,13.0,13.0,159.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,30.0,23.0,7.0,194.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,33.0,26.0,7.0,355.0,3.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,QB
Dak Prescott,DAL,1.0,36.0,25.0,11.0,251.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,44.0,21.0,23.0,258.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,29.0,19.0,10.0,221.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ben Roethlisberger,PIT,1.0,55.0,33.0,22.0,312.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,37.0,29.0,8.0,324.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,35.0,23.0,12.0,229.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,37.0,20.0,17.0,166.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mitchell Trubisky,CHI,1.0,25.0,12.0,13.0,128.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,22.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
