Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Ezekiel Elliott,RB,DAL,105,1,4,30,0
Christian McCaffrey,RB,CAR,70,1,7,55,0
Todd Gurley,RB,LAR,80,1,5,40,0
Saquon Barkley,RB,NYG,65,1,6,50,0
David Johnson,RB,ARI,75,1,5,35,0
Phillip Lindsay,RB,DEN,85,1,3,25,0
Spencer Ware,RB,KC,85,1,3,25,0
James Conner,RB,PIT,70,1,6,35,0
Aaron Jones,RB,GB,80,1,3,25,0
Alvin Kamara,RB,NO,65,1,5,40,0
Matt Breida,RB,SF,70,1,4,25,0
Joe Mixon,RB,CIN,70,1,3,25,0
Nick Chubb,RB,CLE,80,1,1,10,0
Gus Edwards,RB,BAL,80,1,1,10,0
Austin Ekeler,RB,LAC,50,1,5,40,0
Mark Ingram,RB,NO,50,0,4,35,1
Chris Carson,RB,SEA,70,1,1,10,0
Dalvin Cook,RB,MIN,55,1,4,25,0
Josh Adams,RB,PHI,75,1,0,0,0
Tarik Cohen,RB,CHI,25,0,6,50,1
Lamar Miller,RB,HOU,60,1,2,15,0
Peyton Barber,RB,TB,60,1,1,10,0
Adrian Peterson,RB,WAS,60,1,1,10,0
James White,RB,NE,30,1,6,40,0
T.J. Yeldon,RB,JAX,25,0,6,45,1
Derrick Henry,RB,TEN,30,1,1,5,0
Marlon Mack,RB,IND,80,0,1,10,0
Carlos Hyde,RB,JAX,65,0,2,20,0
Dion Lewis,RB,TEN,50,0,4,30,0
LeSean McCoy,RB,BUF,55,0,3,25,0
Frank Gore,RB,MIA,60,0,1,10,0
Doug Martin,RB,OAK,65,0,1,5,0
Kenyan Drake,RB,MIA,40,0,3,25,0
Sony Michel,RB,NE,65,0,0,0,0
Theo Riddick,RB,DET,20,0,6,45,0
Tevin Coleman,RB,ATL,40,0,2,20,0
Isaiah Crowell,RB,NYJ,40,0,2,20,0
Nyheim Hines,RB,IND,25,0,4,35,0
Jordan Howard,RB,CHI,50,0,1,10,0
Jalen Richard,RB,OAK,20,0,5,35,0
Duke Johnson,RB,CLE,15,0,4,30,0
Elijah McGuire,RB,NYJ,30,0,2,15,0
LeGarrette Blount,RB,DET,40,0,0,0,0
Corey Clement,RB,PHI,20,0,2,20,0
Mike Davis,RB,SEA,20,0,2,20,0
Royce Freeman,RB,DEN,30,0,1,5,0
Ty Montgomery,RB,BAL,20,0,2,15,0
Giovani Bernard,RB,CIN,10,0,2,20,0
Alfred Blue,RB,HOU,20,0,1,10,0
Jacquizz Rodgers,RB,TB,10,0,2,20,0
Ito Smith,RB,ATL,20,0,1,10,0
Damien Williams,RB,KC,25,0,1,5,0
Jeff Wilson,RB,SF,25,0,1,5,0
Chris Ivory,RB,BUF,15,0,1,10,0
Latavius Murray,RB,MIN,25,0,0,0,0
Devontae Booker,RB,DEN,10,0,1,10,0
Rashaad Penny,RB,SEA,20,0,0,0,0
Chris Thompson,RB,WAS,10,0,1,10,0
Jamaal Williams,RB,GB,15,0,1,5,0
Zach Zenner,RB,DET,10,0,1,10,0
Malcolm Brown,RB,LAR,15,0,0,0,0
Chase Edmonds,RB,ARI,10,0,1,5,0
Kyle Juszczyk,RB,SF,0,0,1,10,0
Stevan Ridley,RB,PIT,5,0,1,5,0
DeAndre Washington,RB,OAK,10,0,0,0,0
Rod Smith,RB,DAL,5,0,0,0,0
