Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Greg Zuerlein,LAR,SEA,3,0,3,0,12.0,K
Jake Elliott,PHI,DAL,3,0,2,0,11.0,K
Harrison Butker,KC,ARI,2,0,4,0,10.0,K
Chris Boswell,PIT,CAR,2,0,3,0,9.0,K
Chandler Catanzaro,TB,WAS,2,0,3,0,9.0,K
Mason Crosby,GB,MIA,2,0,3,0,9.0,K
Stephen Gostkowski,NE,@TEN,2,0,3,0,9.0,K
Wil Lutz,NO,@CIN,2,0,3,0,9.0,K
Giorgio Tavecchio,ATL,@CLE,2,0,3,0,9.0,K
Adam Vinatieri,IND,JAC,2,0,3,0,9.0,K
Sebastian Janikowski,SEA,@LAR,2,0,2,0,8.0,K
Greg Joseph,CLE,ATL,2,0,2,0,8.0,K
Brett Maher,DAL,@PHI,2,0,2,0,8.0,K
Jason Myers,NYJ,BUF,2,0,2,0,8.0,K
Matt Prater,DET,@CHI,2,0,2,0,8.0,K
Aldrick Rosas,NYG,@SF,2,0,2,0,8.0,K
Mike Badgley,LAC,@OAK,1,0,4,0,7.0,K
Dustin Hopkins,WAS,@TB,2,0,1,0,7.0,K
Randy Bullock,CIN,NO,1,0,3,0,6.0,K
Graham Gano,CAR,@PIT,1,0,3,0,6.0,K
Robbie Gould,SF,NYG,1,0,3,0,6.0,K
Josh Lambo,JAC,@IND,1,0,3,0,6.0,K
Cody Parkey,CHI,DET,1,0,3,0,6.0,K
Daniel Carlson,OAK,LAC,1,0,2,0,5.0,K
Phil Dawson,ARI,@KC,1,0,2,0,5.0,K
Steve Hauschka,BUF,@NYJ,1,0,2,0,5.0,K
Ryan Succop,TEN,NE,1,0,2,0,5.0,K
Jason Sanders,MIA,@GB,1,0,1,0,4.0,K
