Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,2.32,0.0,0.48,0.51,0.55,0.2,K
Chris Boswell,PIT,1.0,2.8,0.0,0.48,0.54,0.44,0.16,K
Randy Bullock,CIN,1.0,2.37,0.02,0.48,0.49,0.43,0.25,K
Harrison Butker,KC,1.0,3.24,0.1,0.48,0.51,0.41,0.21,K
Daniel Carlson,OAK,1.0,2.03,0.03,0.48,0.7,0.5,0.14,K
Chandler Catanzaro,CAR,1.0,3.17,0.01,0.5,0.65,0.48,0.16,K
Mason Crosby,GB,1.0,2.89,0.07,0.48,0.49,0.47,0.18,K
Phil Dawson,ARI,1.0,2.09,0.06,0.48,0.46,0.44,0.2,K
Jake Elliott,PHI,1.0,2.71,0.0,0.48,0.58,0.44,0.19,K
Graham Gano,CAR,1.0,1.89,0.0,0.48,0.62,0.46,0.23,K
Stephen Gostkowski,NE,1.0,2.31,0.0,0.48,0.48,0.42,0.25,K
Robbie Gould,SF,1.0,2.5,0.03,0.48,0.53,0.44,0.24,K
Stephen Hauschka,BUF,1.0,1.6,0.04,0.48,0.52,0.55,0.27,K
Dustin Hopkins,WAS,1.0,2.65,0.01,0.48,0.47,0.41,0.22,K
Sebastian Janikowski,SEA,1.0,1.68,0.06,0.48,0.46,0.4,0.22,K
Greg Joseph,CLE,1.0,2.3,0.0,0.48,0.5,0.4,0.17,K
Josh Lambo,JAX,1.0,1.88,0.0,0.48,0.55,0.5,0.35,K
Wil Lutz,NO,1.0,3.02,0.03,0.48,0.51,0.41,0.24,K
Brett Maher,DAL,1.0,2.04,0.0,0.48,0.49,0.43,0.22,K
Jason Myers,NYJ,1.0,1.9,0.0,0.48,0.5,0.43,0.23,K
Cody Parkey,CHI,1.0,2.64,0.04,0.48,0.48,0.44,0.2,K
Matt Prater,DET,1.0,1.42,0.03,0.48,0.47,0.51,0.21,K
Aldrick Rosas,NYG,1.0,2.12,0.0,0.48,0.51,0.46,0.23,K
Jason Sanders,MIA,1.0,2.51,0.12,0.48,0.52,0.48,0.21,K
Ryan Succop,TEN,1.0,1.7,0.0,0.48,0.49,0.43,0.23,K
Giorgio Tavecchio,ATL,1.0,2.53,0.03,0.48,0.54,0.4,0.19,K
Adam Vinatieri,IND,1.0,2.57,0.0,0.48,0.48,0.4,0.23,K
Greg Zuerlein,LA,1.0,2.79,0.04,0.48,0.61,0.5,0.25,K
