Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,Dal,W 27-7,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,NO,L 10-47,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,GB,L 16-23,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,@Ten,L 20-24,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,@Det,L 24-38,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@Atl,L 7-27,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,NE,L 16-41,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,Cle,W 38-24,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Chi,W 23-16,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,Cin,W 24-20,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,Pit,L 17-20,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Raiders D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Rams D/ST D/ST,Hou,W 33-7,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@Car,L 21-45,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Wsh,W 38-30,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@Den,W 41-16,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@Buf,W 47-10,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@SF,L 21-31,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@TB,L 10-15,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Cardinals D/ST D/ST,Sea,L 16-22,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@Ind,W 20-17,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@Jax,L 17-20,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,NYG,W 31-21,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@Ari,W 22-16,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,NYJ,W 15-10,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,Min,L 30-38,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,Mia,W 45-21,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,LAC,W 20-17,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Texans D/ST D/ST,@LAR,L 7-33,--,--,--,--,--,--,--,--,DST
