Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,374.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,342.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,72.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,416.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,63.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,482.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,396.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,345.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,48.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,275.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,287.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,398.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,316.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
