Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Dallas Cowboys,DAL,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,336.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,548.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Atlanta Falcons,ATL,1.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,26.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,233.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,474.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,81.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,322.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,271.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,56.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,413.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,93.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,313.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,103.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,339.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,81.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,283.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,406.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,198.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,75.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,290.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,267.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,443.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,88.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,308.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,66.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,394.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
