Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,200.15,0.94,0.96,21.71,0.17,0.11,0.09,QB
C.J. Beathard,SF,1.0,15.65,0.05,0.11,0.02,0.02,0.01,0.03,QB
Blake Bortles,JAX,1.0,242.67,1.52,0.87,25.39,0.18,0.05,0.16,QB
Sam Bradford,,1.0,248.09,1.4,0.88,4.74,0.06,0.07,0.0,QB
Tom Brady,NE,1.0,294.28,1.92,0.77,2.83,0.05,0.03,0.16,QB
Drew Brees,NO,1.0,315.51,2.04,0.87,3.36,0.07,0.02,0.06,QB
Teddy Bridgewater,NO,1.0,17.0,0.05,0.1,0.11,0.01,0.0,0.03,QB
Jacoby Brissett,IND,1.0,13.02,0.04,0.06,0.04,0.01,0.01,0.03,QB
Derek Carr,OAK,1.0,238.67,1.32,0.85,6.91,0.08,0.09,0.22,QB
Matt Cassel,DET,1.0,12.38,0.03,0.06,0.0,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,254.79,1.75,0.77,11.96,0.1,0.08,0.0,QB
Andy Dalton,CIN,1.0,242.14,1.36,0.85,8.94,0.08,0.07,0.0,QB
Chase Daniel,CHI,1.0,8.94,0.04,0.04,0.04,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,219.83,1.31,0.88,20.35,0.16,0.11,0.08,QB
Joshua Dobbs,PIT,1.0,21.31,0.07,0.09,0.09,0.01,0.01,0.04,QB
Jeff Driskel,CIN,1.0,21.65,0.06,0.17,0.0,0.01,0.01,0.04,QB
Ryan Fitzpatrick,TB,1.0,254.45,1.59,0.98,19.2,0.15,0.03,0.0,QB
Joe Flacco,BAL,1.0,235.22,1.26,0.81,9.05,0.08,0.04,0.13,QB
Nick Foles,PHI,1.0,256.11,1.67,0.86,3.54,0.08,0.06,0.09,QB
Blaine Gabbert,TEN,1.0,21.47,0.06,0.09,0.06,0.01,0.0,0.03,QB
Jimmy Garoppolo,SF,1.0,277.86,1.87,0.86,9.5,0.12,0.07,0.06,QB
