Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,80,1,6,45,0
Ezekiel Elliott,RB,DAL,90,1,4,30,0
Melvin Gordon,RB,LAC,70,1,5,40,0
Christian McCaffrey,RB,CAR,65,0,6,45,1
Saquon Barkley,RB,NYG,60,1,6,45,0
David Johnson,RB,ARI,70,1,5,35,0
T.J. Yeldon,RB,JAX,60,1,6,45,0
Alvin Kamara,RB,NO,40,0,8,60,1
Joe Mixon,RB,CIN,75,1,3,25,0
Sony Michel,RB,NE,80,1,1,10,0
James Conner,RB,PIT,50,1,6,35,0
Dion Lewis,RB,TEN,50,1,4,30,0
Marshawn Lynch,RB,OAK,65,1,2,15,0
Bilal Powell,RB,NYJ,50,1,3,25,0
Chris Thompson,RB,WAS,25,0,6,50,1
Javorius Allen,RB,BAL,40,1,4,30,0
Kerryon Johnson,RB,DET,50,1,2,20,0
Aaron Jones,RB,GB,55,1,2,15,0
Derrick Henry,RB,TEN,55,1,1,10,0
Tevin Coleman,RB,ATL,40,1,2,15,0
Mark Ingram,RB,NO,45,1,1,10,0
Royce Freeman,RB,DEN,45,1,0,0,0
Devonta Freeman,RB,ATL,45,0,3,25,0
Phillip Lindsay,RB,DEN,50,0,2,20,0
Jay Ajayi,RB,PHI,55,0,2,10,0
Kenyan Drake,RB,MIA,45,0,2,20,0
Alfred Blue,RB,HOU,45,0,2,15,0
LeSean McCoy,RB,BUF,40,0,2,20,0
Nyheim Hines,RB,IND,15,0,5,40,0
James White,RB,NE,20,0,5,35,0
Chris Carson,RB,SEA,35,0,2,15,0
Alex Collins,RB,BAL,40,0,1,10,0
Mike Davis,RB,SEA,40,0,1,10,0
Latavius Murray,RB,MIN,35,0,2,15,0
Adrian Peterson,RB,WAS,40,0,1,10,0
Isaiah Crowell,RB,NYJ,35,0,1,10,0
Austin Ekeler,RB,LAC,30,0,2,15,0
Frank Gore,RB,MIA,35,0,1,5,0
Wendell Smallwood,RB,PHI,20,0,2,20,0
Chris Ivory,RB,BUF,25,0,1,10,0
Duke Johnson,RB,CLE,15,0,2,20,0
Lamar Miller,RB,HOU,30,0,1,5,0
Alfred Morris,RB,SF,35,0,0,0,0
Jalen Richard,RB,OAK,10,0,3,25,0
Jordan Wilkins,RB,IND,20,0,2,15,0
Devontae Booker,RB,DEN,10,0,2,20,0
Nick Chubb,RB,CLE,30,0,0,0,0
Theo Riddick,RB,DET,5,0,4,25,0
Jamaal Williams,RB,GB,25,0,1,5,0
LeGarrette Blount,RB,DET,25,0,0,0,0
Kyle Juszczyk,RB,SF,0,0,3,25,0
Chase Edmonds,RB,ARI,10,0,1,10,0
Wayne Gallman,RB,NYG,10,0,1,10,0
Rod Smith,RB,DAL,15,0,1,5,0
Mark Walton,RB,CIN,10,0,1,10,0
Corey Grant,RB,JAX,5,0,1,10,0
Spencer Ware,RB,KC,10,0,1,5,0
Malcolm Brown,RB,LAR,5,0,1,5,0
Doug Martin,RB,OAK,10,0,0,0,0
Rashaad Penny,RB,SEA,10,0,0,0,0
Stevan Ridley,RB,PIT,5,0,1,5,0
