Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Frc Fum,Fum Rec,Pass Def,POS,TD
Jay Ajayi,PHI,1.0,63.25,0.42,2.06,16.11,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Javorius Allen,BAL,1.0,33.08,0.3,2.11,20.03,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Anderson,LAR,1.0,22.27,0.13,0.75,6.11,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,1.89,0.02,0.14,0.59,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,66.83,0.53,5.89,47.72,0.17,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,29.45,0.17,0.33,2.52,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,25.62,0.15,0.77,6.7,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Tommy Bohanon,JAX,1.0,0.0,0.0,0.45,2.84,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,4.75,0.03,0.38,4.33,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,14.51,0.07,1.76,14.96,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Boone,MIN,1.0,8.53,0.05,0.71,4.18,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,1.0,17.79,0.1,0.7,5.73,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,2.94,0.03,0.37,3.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Chris Carson,SEA,1.0,42.4,0.23,1.76,16.15,0.07,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,13.11,0.13,0.45,4.31,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,1.0,13.69,0.11,1.42,12.02,0.08,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.02
Derrick Coleman,ARI,1.0,0.0,0.0,0.31,1.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,40.54,0.24,2.0,16.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,1.0,53.49,0.43,2.5,21.69,0.09,0.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,68.87,0.48,3.95,34.99,0.1,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
