Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Frc Fum,Fum Rec,Pass Def,POS,TD
Isaiah Crowell,NYJ,1.0,45.63,0.31,1.28,11.73,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Davis,LAR,1.0,0.33,0.01,0.34,2.71,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,17.6,0.1,1.53,13.42,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.0,0.01,1.0,6.82,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.05,0.01,0.26,2.78,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenyan Drake,MIA,1.0,46.93,0.32,2.59,19.4,0.1,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,18.71,0.11,1.32,10.89,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,29.76,0.29,2.56,26.34,0.17,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ezekiel Elliott,DAL,1.0,84.64,0.52,2.55,25.08,0.18,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tyler Ervin,BAL,1.0,3.19,0.02,0.31,2.49,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Fluellen,TEN,1.0,1.16,0.01,0.4,2.55,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devonta Freeman,ATL,1.0,40.86,0.32,2.94,25.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Royce Freeman,DEN,1.0,53.06,0.44,0.95,7.02,0.03,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wayne Gallman,NYG,1.0,14.87,0.08,1.49,12.38,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Melvin Gordon,LAC,1.0,75.1,0.57,4.8,44.88,0.27,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Frank Gore,MIA,1.0,33.23,0.16,1.45,10.62,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Grant,JAX,1.0,13.2,0.09,2.41,21.6,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Todd Gurley,LAR,1.0,94.5,0.59,4.44,44.77,0.31,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Ham,MIN,1.0,0.0,0.01,0.87,5.81,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derrick Henry,TEN,1.0,53.56,0.33,1.5,12.27,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nyheim Hines,IND,1.0,24.27,0.13,4.96,46.15,0.22,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Kareem Hunt,FA,1.0,67.54,0.47,2.53,21.39,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Carlos Hyde,JAX,1.0,59.13,0.4,1.86,13.24,0.06,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Ingram,NO,1.0,35.87,0.28,2.2,16.46,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Ivory,BUF,1.0,17.28,0.08,0.76,6.87,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Jackson,LAC,1.0,2.76,0.03,0.29,2.22,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Andy Janovich,DEN,1.0,1.32,0.01,0.44,2.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Johnson,ARI,1.0,66.93,0.55,4.15,43.47,0.23,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Duke Johnson,CLE,1.0,14.1,0.09,2.83,26.12,0.13,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kerryon Johnson,DET,1.0,62.77,0.41,2.8,22.89,0.1,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Aaron Jones,GB,1.0,63.38,0.46,1.77,12.4,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Taiwan Jones,BUF,1.0,0.0,0.0,0.44,5.64,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kyle Juszczyk,SF,1.0,0.0,0.01,2.75,29.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alvin Kamara,NO,1.0,58.83,0.56,6.27,59.9,0.36,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Dion Lewis,TEN,1.0,34.37,0.24,3.52,26.29,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Phillip Lindsay,DEN,1.0,54.31,0.38,1.77,14.96,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.07
Zach Line,NO,1.0,0.0,0.01,0.65,4.62,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marshawn Lynch,OAK,1.0,73.92,0.49,2.22,17.78,0.06,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tre Madden,SEA,1.0,0.37,0.01,0.28,2.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Doug Martin,OAK,1.0,20.51,0.11,0.58,3.44,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christian McCaffrey,CAR,1.0,69.58,0.4,5.99,55.81,0.35,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeSean McCoy,BUF,1.0,50.56,0.27,3.02,23.39,0.13,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Sony Michel,NE,1.0,74.99,0.53,1.91,14.61,0.07,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.22
Lamar Miller,HOU,1.0,54.1,0.28,1.87,16.62,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Joe Mixon,CIN,1.0,80.42,0.51,2.96,26.68,0.07,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ty Montgomery,BAL,1.0,20.53,0.14,2.15,19.35,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Morris,SF,1.0,40.41,0.32,0.89,7.39,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Raheem Mostert,SF,1.0,3.65,0.03,0.44,5.27,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Latavius Murray,MIN,1.0,43.86,0.33,1.73,13.71,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Roosevelt Nix,PIT,1.0,0.4,0.01,0.23,1.55,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamize Olawale,DAL,1.0,0.04,0.0,0.23,1.39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ricky Ortiz,ATL,1.0,1.15,0.0,0.4,1.17,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Elijhaa Penny,NYG,1.0,6.59,0.06,0.26,1.53,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rashaad Penny,SEA,1.0,32.92,0.19,1.25,12.02,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Senorise Perry,MIA,1.0,3.09,0.03,0.45,4.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Adrian Peterson,WAS,1.0,56.16,0.31,1.69,15.82,0.09,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Bilal Powell,NYJ,1.0,49.35,0.27,2.43,20.43,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jalen Richard,OAK,1.0,7.31,0.04,2.52,24.46,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Theo Riddick,DET,1.0,5.63,0.03,3.64,28.4,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Stevan Ridley,PIT,1.0,14.07,0.1,0.4,3.65,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jaylen Samuels,PIT,1.0,4.28,0.04,0.26,2.31,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Anthony Sherman,KC,1.0,0.78,0.01,0.37,2.84,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wendell Smallwood,PHI,1.0,21.26,0.12,1.33,14.45,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ito Smith,ATL,1.0,7.09,0.05,0.43,2.08,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Keith Smith,OAK,1.0,0.0,0.0,0.38,2.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Rod Smith,DAL,1.0,8.46,0.07,0.67,5.76,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
De'Anthony Thomas,KC,1.0,0.65,0.01,0.8,9.68,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Roc Thomas,MIN,1.0,7.23,0.04,0.55,3.76,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Thompson,WAS,1.0,17.45,0.08,4.43,39.36,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Robert Turbin,FA,1.0,2.19,0.02,1.11,8.52,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
De'Lance Turner,BAL,1.0,4.92,0.03,0.42,4.05,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Walton,CIN,1.0,22.62,0.15,1.97,17.62,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Spencer Ware,KC,1.0,14.31,0.08,0.9,8.83,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dwayne Washington,NO,1.0,2.25,0.02,0.32,2.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derek Watt,LAC,1.0,0.87,0.02,0.17,1.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James White,NE,1.0,29.5,0.24,4.22,40.31,0.13,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilds,ARI,1.0,7.81,0.06,0.36,2.17,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Wilkins,IND,1.0,33.61,0.17,1.63,13.92,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Damien Williams,KC,1.0,5.91,0.03,0.75,6.59,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jamaal Williams,GB,1.0,33.06,0.2,1.02,8.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Wilson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.01,0.01,0.02,0.02,RB,0.0
T.J. Yeldon,JAX,1.0,60.63,0.48,4.3,38.03,0.22,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
