Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Eagles, PHI",0.8,0.1,2.9,41.2,0.8,1.1,0.25,18.6,189.0,107.0,296,13,DST
"Broncos, DEN",1.1,0.0,3.0,41.6,0.9,1.2,0.07,15.2,163.0,101.0,264,13,DST
"Giants, NYG",1.0,0.0,1.4,38.9,0.6,0.8,0.22,18.8,193.0,97.0,290,11,DST
"Seahawks, SEA",1.0,0.3,2.6,41.9,0.7,1.0,0.19,20.8,225.0,93.0,318,11,DST
"Vikings, MIN",0.6,0.0,3.2,43.1,0.9,1.2,0.25,18.8,195.0,113.0,308,11,DST
"Bengals, CIN",1.1,0.0,3.1,38.2,0.9,1.2,0.09,15.1,209.0,100.0,309,11,DST
"Bills, BUF",1.0,0.0,3.5,35.9,0.8,1.1,0.05,16.0,208.0,98.0,306,11,DST
"49ers, SF",1.2,0.0,2.4,42.4,0.8,1.1,0.13,18.9,239.0,111.0,350,11,DST
"Cardinals, ARI",1.1,0.0,2.9,42.1,0.8,1.1,0.07,17.0,197.0,117.0,314,11,DST
"Buccaneers, TB",1.0,0.0,2.8,40.9,0.8,1.1,0.06,22.2,195.0,98.0,293,10,DST
"Packers, GB",1.1,0.0,2.8,38.5,0.7,1.0,0.04,16.6,231.0,99.0,330,10,DST
"Rams, LAR",0.9,0.0,1.9,42.8,1.1,1.6,0.12,20.8,260.0,92.0,352,10,DST
"Titans, TEN",1.3,0.1,3.8,41.3,0.5,0.6,0.17,24.6,243.0,100.0,343,10,DST
"Chiefs, KC",1.2,0.0,1.9,44.5,0.7,0.9,0.08,18.9,270.0,100.0,370,10,DST
"Raiders, OAK",1.4,0.0,2.7,38.6,0.8,1.1,0.18,23.5,254.0,92.0,346,10,DST
"Texans, HOU",0.8,0.0,3.0,42.4,0.8,1.1,0.28,25.8,236.0,112.0,348,9,DST
"Patriots, NE",1.0,0.0,2.1,41.8,0.6,0.9,0.04,18.1,248.0,103.0,351,9,DST
"Jets, NYJ",0.9,0.0,2.1,43.0,0.6,0.8,0.06,18.9,241.0,84.0,325,9,DST
"Ravens, BAL",1.7,0.0,2.1,45.1,0.7,0.9,0.06,21.2,230.0,106.0,336,9,DST
"Redskins, WAS",0.7,0.1,3.1,41.6,0.9,1.2,0.1,25.0,252.0,104.0,356,9,DST
"Falcons, ATL",1.0,0.0,1.7,44.5,1.1,1.6,0.1,22.3,263.0,85.0,348,8,DST
"Lions, DET",0.8,0.1,2.5,44.6,0.7,1.0,0.13,23.6,265.0,102.0,367,8,DST
"Colts, IND",1.1,0.0,1.9,37.9,0.9,1.3,0.07,22.5,208.0,119.0,327,8,DST
"Bears, CHI",0.7,0.0,2.7,42.6,0.8,1.1,0.09,25.9,251.0,101.0,352,8,DST
"Dolphins, MIA",0.5,0.0,2.4,42.4,0.5,0.7,0.26,21.2,187.0,155.0,342,7,DST
"Saints, NO",0.6,0.0,2.4,43.0,1.1,1.6,0.32,28.8,239.0,137.0,376,7,DST
"Jaguars, JAC",0.6,0.1,1.9,41.2,0.7,1.0,0.11,25.5,221.0,91.0,312,7,DST
"Browns, CLE",0.8,0.0,2.1,43.5,0.6,0.8,0.07,25.9,266.0,116.0,382,7,DST
"Steelers, PIT",0.4,0.1,1.9,45.5,0.8,1.1,0.09,25.8,276.0,104.0,380,7,DST
