Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,513.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,1.0,2.0,1.0,1.0,28.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,406.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,352.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,454.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Denver Broncos,DEN,1.0,1.0,0.0,2.0,2.0,0.0,0.0,52.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,271.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,0.0,1.0,1.0,0.0,0.0,21.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,559.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
Tampa Bay Buccaneers,TB,1.0,4.0,1.0,2.0,3.0,0.0,0.0,52.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,273.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,0.0,0.0,2.0,0.0,0.0,33.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,257.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,386.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,1.0,1.0,2.0,1.0,0.0,19.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,463.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,0.0,1.0,1.0,1.0,0.0,49.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,331.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,4.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,267.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,6.0,1.0,3.0,4.0,0.0,0.0,98.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,282.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,4.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,426.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,4.0,0.0,3.0,1.0,0.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,345.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
