Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
Jacksonville Jaguars,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,2.0,1.0,2.0,0.0,0.0,61.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,245.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,413.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,2.0,0.0,0.0,0.0,0.0,41.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,189.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,0.0,1.0,0.0,1.0,0.0,0.0,34.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,375.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,2.0,1.0,1.0,0.0,0.0,41.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,0.0,0.0,1.0,1.0,0.0,0.0,90.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,232.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,5.0,0.0,2.0,1.0,1.0,1.0,9.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,326.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,4.0,0.0,0.0,1.0,0.0,2.0,51.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,0.0,0.0,2.0,2.0,0.0,0.0,81.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,362.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,347.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,422.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,0.0,2.0,2.0,1.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,239.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
