Player,Team,GP,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,Return Yds,Tack,Ast,POS
Mark Andrews,BAL,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dan Arnold,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antony Auclair,TB,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,TE
Blake Bell,JAX,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,4.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,2.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Conklin,MIN,1.0,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jason Croom,BUF,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LA,1.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Anthony Firkser,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Antonio Gates,LAC,1.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Mike Gesicki,MIA,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dallas Goedert,PHI,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Chris Herndon,NYJ,1.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Hill,NO,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hayden Hurst,BAL,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Jarwin,DAL,1.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,7.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,4.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Leggett,NYJ,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt Lengel,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Chris Manhertz,CAR,1.0,1.0,50.0,1.0,1.0,1.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brian Parker,DEN,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MyCole Pruitt,TEN,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dalton Schultz,DAL,1.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Adam Shaheen,CHI,1.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lee Smith,OAK,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jeremy Sprinkle,WAS,1.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Ian Thomas,CAR,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Thomas,HOU,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
C.J. Uzomah,CIN,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Maxx Williams,BAL,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
