Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.02,0.0,0.99,9.99,0.09,TE
Mo Alie-Cox,IND,1.0,0.04,0.0,1.06,12.32,0.08,TE
Dwayne Allen,NE,1.0,0.03,0.0,0.27,1.16,0.02,TE
Mark Andrews,BAL,1.0,0.03,0.0,1.82,22.96,0.19,TE
Dan Arnold,NO,1.0,0.03,0.0,1.15,13.96,0.1,TE
Antony Auclair,TB,1.0,0.06,0.0,0.4,3.44,0.03,TE
Blake Bell,JAX,1.0,0.03,0.0,0.8,6.65,0.06,TE
Nick Boyle,BAL,1.0,0.07,0.0,1.48,14.67,0.08,TE
Cameron Brate,TB,1.0,0.03,0.0,2.74,32.16,0.2,TE
Ben Braunecker,CHI,1.0,0.03,0.0,0.16,2.6,0.03,TE
Daniel Brown,CHI,1.0,0.04,0.0,0.2,2.5,0.03,TE
Trey Burton,CHI,1.0,0.25,0.0,2.47,28.86,0.18,TE
Derek Carrier,OAK,1.0,0.02,0.0,0.62,3.78,0.04,TE
Garrett Celek,SF,1.0,0.02,0.0,0.38,3.83,0.04,TE
Charles Clay,BUF,1.0,0.16,0.0,1.75,18.35,0.09,TE
Tyler Conklin,MIN,1.0,0.02,0.0,0.35,2.49,0.04,TE
Jared Cook,OAK,1.0,0.08,0.0,4.12,56.49,0.44,TE
Jason Croom,BUF,1.0,0.03,0.0,0.57,7.87,0.05,TE
Alan Cross,TB,1.0,0.03,0.0,0.19,1.61,0.02,TE
Vernon Davis,WAS,1.0,0.09,0.0,2.61,34.76,0.23,TE
Seth DeValve,CLE,1.0,0.03,0.0,0.49,5.67,0.04,TE
Ed Dickson,SEA,1.0,0.06,0.0,1.32,17.94,0.13,TE
Ross Dwelley,SF,1.0,0.02,0.0,0.22,3.52,0.03,TE
Eric Ebron,IND,1.0,1.27,0.01,4.67,51.88,0.46,TE
Rhett Ellison,NYG,1.0,0.07,0.0,1.8,20.69,0.11,TE
Evan Engram,NYG,1.0,0.35,0.0,3.41,38.66,0.32,TE
Zach Ertz,PHI,1.0,0.07,0.0,6.3,66.73,0.45,TE
Gerald Everett,LAR,1.0,0.03,0.0,2.63,29.07,0.17,TE
Darren Fells,CLE,1.0,0.06,0.0,0.3,3.15,0.04,TE
Anthony Firkser,TEN,1.0,0.07,0.0,2.84,34.41,0.22,TE
Antonio Gates,LAC,1.0,0.02,0.0,1.91,22.21,0.15,TE
Rico Gathers,DAL,1.0,0.03,0.0,0.28,2.81,0.03,TE
Mike Gesicki,MIA,1.0,0.03,0.0,0.69,8.59,0.05,TE
Dallas Goedert,PHI,1.0,0.05,0.0,2.08,21.73,0.15,TE
Jimmy Graham,GB,1.0,0.1,0.0,2.96,33.12,0.13,TE
Virgil Green,LAC,1.0,0.11,0.0,0.72,9.2,0.05,TE
Jermaine Gresham,ARI,1.0,0.07,0.0,0.72,8.87,0.06,TE
Ryan Griffin,HOU,1.0,0.04,0.0,2.09,25.41,0.12,TE
Xavier Grimble,PIT,1.0,0.02,0.0,0.27,3.33,0.04,TE
Rob Gronkowski,NE,1.0,0.09,0.0,4.08,57.34,0.39,TE
Clark Harris,CIN,1.0,0.03,0.0,0.06,1.35,0.02,TE
Demetrius Harris,KC,1.0,0.06,0.0,1.63,16.61,0.1,TE
Temarrick Hemingway,DEN,1.0,0.02,0.0,0.22,3.28,0.03,TE
Chris Herndon,NYJ,1.0,0.07,0.0,2.8,38.69,0.25,TE
Ryan Hewitt,IND,1.0,0.09,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LAR,1.0,0.06,0.0,1.66,21.06,0.14,TE
Josh Hill,NO,1.0,0.33,0.0,1.13,13.36,0.11,TE
Austin Hooper,ATL,1.0,0.1,0.0,3.92,34.93,0.27,TE
Hayden Hurst,BAL,1.0,0.46,0.0,0.51,7.28,0.06,TE
Jesse James,PIT,1.0,0.05,0.0,1.88,22.37,0.12,TE
Blake Jarwin,DAL,1.0,0.03,0.0,1.49,14.59,0.11,TE
Travis Kelce,KC,1.0,0.12,0.0,6.85,87.37,0.6,TE
Lance Kendricks,GB,1.0,0.03,0.0,0.74,6.14,0.05,TE
George Kittle,SF,1.0,0.47,0.0,5.89,83.27,0.49,TE
Ben Koyack,JAX,1.0,0.03,0.0,0.2,2.1,0.03,TE
Matt LaCosse,DEN,1.0,0.04,0.0,1.77,21.67,0.14,TE
Jordan Leggett,NYJ,1.0,0.03,0.0,1.11,12.82,0.08,TE
Matt Lengel,CIN,1.0,0.03,0.0,0.71,6.7,0.07,TE
Marcedes Lewis,GB,1.0,0.03,0.0,0.16,1.36,0.02,TE
Chris Manhertz,CAR,1.0,0.03,0.0,0.29,1.83,0.02,TE
Vance McDonald,PIT,1.0,0.09,0.0,3.79,38.4,0.24,TE
David Morgan,MIN,1.0,0.04,0.0,0.09,2.45,0.03,TE
Johnny Mundt,LAR,1.0,0.03,0.0,0.13,2.59,0.03,TE
David Njoku,CLE,1.0,0.08,0.0,3.25,32.46,0.24,TE
Nick O'Leary,MIA,1.0,0.06,0.0,0.6,7.63,0.04,TE
James O'Shaughnessy,JAX,1.0,0.06,0.0,2.3,21.76,0.12,TE
Brian Parker,DEN,1.0,0.02,0.0,0.7,6.47,0.04,TE
Logan Paulsen,ATL,1.0,0.05,0.0,0.31,4.12,0.03,TE
