Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,400+ Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,33.0,19.0,14.0,207.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,7.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Bradford,,1.0,36.0,26.0,10.0,262.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,36.0,23.0,13.0,207.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,27.0,17.0,10.0,205.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,QB
Derek Carr,OAK,1.0,35.0,25.0,10.0,199.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,27.0,21.0,6.0,183.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Andy Dalton,CIN,1.0,31.0,22.0,9.0,296.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,-12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-14.0,QB
Ryan Fitzpatrick,TB,1.0,41.0,23.0,18.0,261.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,52.0,32.0,20.0,298.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,QB
Blaine Gabbert,TEN,1.0,23.0,16.0,7.0,196.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,36.0,28.0,8.0,302.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Landry Jones,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Case Keenum,DEN,1.0,30.0,18.0,12.0,266.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Cody Kessler,JAX,1.0,40.0,28.0,12.0,223.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,QB
Andrew Luck,IND,1.0,42.0,27.0,15.0,234.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,QB
Paxton Lynch,,1.0,24.0,14.0,10.0,170.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,45.0,25.0,20.0,261.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,29.0,13.0,16.0,202.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,25.0,14.0,11.0,165.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,QB
Brock Osweiler,MIA,1.0,37.0,25.0,12.0,254.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
