Player,Bye,Proj,Actual,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Made,Miss,POS
No new player Notes Greg Zuerlein LAR - K Final (W) 33-13 @ Oak,12,79,79,0.0,0.0,0.6,0.0,0.7,0.0,0.6,0.1,0.4,0.1,0.0,0.0,0.6,0.0,0.7,0.0,0.6,0.1,0.4,0.1,3.3,0.1,K
No new player Notes Stephen Gostkowski NE - K Final (W) 27-20 vs Hou,11,90,90,0.1,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.3,0.1,0.1,0.0,0.5,0.0,0.6,0.1,0.7,0.1,0.3,0.1,3.5,0.1,K
No new player Notes Justin Tucker Bal - K Final (W) 47-3 vs Buf,10,98,98,0.0,0.0,0.6,0.0,0.5,0.0,0.7,0.1,0.4,0.1,0.0,0.0,0.6,0.0,0.5,0.0,0.7,0.1,0.4,0.1,2.4,0.0,K
No new player Notes Daniel Carlson Oak - K Final (L) 33-13 vs LAR,7,102,102,0.0,0.0,0.2,0.0,0.7,0.0,0.7,0.5,0.3,0.5,0.0,0.0,0.2,0.0,0.7,0.0,0.7,0.5,0.3,0.5,3.1,0.2,K
No new player Notes Wil Lutz NO - K Final (L) 48-40 vs TB,6,103,103,0.0,0.0,0.5,0.0,0.6,0.1,0.8,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.6,0.1,0.8,0.1,0.2,0.1,3.2,0.1,K
No new player Notes Matt Prater Det - K Final (L) 48-17 vs NYJ,6,114,114,0.0,0.0,0.5,0.0,0.6,0.0,0.6,0.1,0.3,0.1,0.0,0.0,0.5,0.0,0.6,0.0,0.6,0.1,0.3,0.1,2.6,0.1,K
No new player Notes Jake Elliott Phi - K Final (W) 18-12 vs Atl,9,117,117,0.0,0.0,0.4,0.0,0.8,0.0,0.5,0.1,0.3,0.1,0.0,0.0,0.4,0.0,0.8,0.0,0.5,0.1,0.3,0.1,2.9,0.1,K
No new player Notes Harrison Butker KC - K Final (W) 38-28 @ LAC,12,124,124,0.0,0.0,0.6,0.0,0.6,0.1,0.6,0.1,0.2,0.1,0.0,0.0,0.6,0.0,0.6,0.1,0.6,0.1,0.2,0.1,2.7,0.1,K
No new player Notes Matt Bryant Atl - K Final (L) 18-12 @ Phi,8,131,131,0.0,0.0,0.5,0.0,0.5,0.0,0.7,0.1,0.3,0.1,0.0,0.0,0.5,0.0,0.5,0.0,0.7,0.1,0.3,0.1,2.3,0.1,K
No new player Notes Chris Boswell Pit - K IR Final (T) 21-21 @ Cle,7,137,137,0.0,0.0,0.5,0.0,0.5,0.1,0.7,0.1,0.2,0.1,0.0,0.0,0.5,0.0,0.5,0.1,0.7,0.1,0.2,0.1,2.7,0.1,K
