Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Minnesota Vikings,DST,MIN,12.3,223,1.1,0.7,3.6,0.1,0.0,0.4
Houston Texans,DST,HOU,19.0,349,1.1,0.7,3.7,0.1,0.0,0.2
Jacksonville Jaguars,DST,JAX,14.8,253,1.1,0.6,3.3,0.1,0.0,0.30000000000000004
Philadelphia Eagles,DST,PHI,19.5,365,1.0,0.6,2.9,0.1,0.1,0.2
Cleveland Browns,DST,CLE,19.0,315,0.8,0.6,2.8,0.0,0.0,0.30000000000000004
Chicago Bears,DST,CHI,17.3,277,0.7,0.6,2.7,0.0,0.1,0.30000000000000004
Baltimore Ravens,DST,BAL,20.3,328,1.1,0.8,3.4,0.1,0.0,0.1
Seattle Seahawks,DST,SEA,19.5,360,0.8,0.6,2.3,0.1,0.1,0.1
New England Patriots,DST,NE,24.3,426,0.9,0.6,2.8,0.1,0.1,0.1
Cincinnati Bengals,DST,CIN,23.3,351,0.8,0.5,2.5,0.0,0.1,0.2
Miami Dolphins,DST,MIA,21.5,384,0.8,0.5,2.3,0.0,0.0,0.2
Arizona Cardinals,DST,ARI,21.8,355,0.8,0.5,2.4,0.1,0.0,0.2
Carolina Panthers,DST,CAR,20.8,334,1.0,0.6,3.0,0.0,0.1,0.2
Dallas Cowboys,DST,DAL,20.5,363,0.9,0.7,3.1,0.0,0.0,0.0
New York Giants,DST,NYG,25.0,371,0.8,0.4,2.0,0.0,0.1,0.30000000000000004
Pittsburgh Steelers,DST,PIT,26.0,369,0.7,0.5,2.3,0.1,0.1,0.2
New York Jets,DST,NYJ,22.0,326,0.9,0.6,2.5,0.0,0.0,0.1
Los Angeles Rams,DST,LAR,21.0,380,0.9,0.5,2.5,0.1,0.0,0.30000000000000004
Green Bay Packers,DST,GB,21.3,364,0.7,0.5,2.4,0.0,0.0,0.1
Washington Redskins,DST,WAS,23.8,382,0.7,0.5,2.3,0.0,0.0,0.2
Denver Broncos,DST,DEN,25.8,361,0.7,0.5,2.4,0.0,0.1,0.30000000000000004
Atlanta Falcons,DST,ATL,26.0,423,0.7,0.5,2.3,0.0,0.0,0.1
Tennessee Titans,DST,TEN,24.8,321,0.6,0.4,1.9,0.0,0.1,0.30000000000000004
Detroit Lions,DST,DET,30.8,431,0.8,0.5,2.1,0.0,0.1,0.2
Tampa Bay Buccaneers,DST,TB,28.5,388,0.7,0.6,2.5,0.0,0.1,0.2
Oakland Raiders,DST,OAK,24.5,359,0.8,0.6,2.5,0.1,0.0,0.1
Kansas City Chiefs,DST,KC,24.0,396,0.8,0.6,2.4,0.0,0.0,0.1
New Orleans Saints,DST,NO,27.5,404,0.7,0.4,2.3,0.0,0.0,0.2
Los Angeles Chargers,DST,LAC,28.0,386,0.7,0.4,2.2,0.0,0.0,0.2
Indianapolis Colts,DST,IND,26.0,357,0.7,0.5,2.2,0.0,0.0,0.1
San Francisco 49ers,DST,SF,29.5,431,0.7,0.4,2.0,0.0,0.0,0.1
Buffalo Bills,DST,BUF,28.8,395,0.5,0.3,1.5,0.0,0.0,0.1
