Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Minnesota Vikings,DST,MIN,14.2,235,1.3,0.5,3.4,0.0,0.28
Chicago Bears,DST,CHI,14.9,260,1.3,1.0,3.8,0.0,0.3
Cleveland Browns,DST,CLE,15.8,266,1.3,1.0,2.8,0.0,0.28
Baltimore Ravens,DST,BAL,17.6,335,1.5,1.0,3.0,0.0,0.39
Jacksonville Jaguars,DST,JAX,16.2,251,1.4,0.7,2.1,0.0,0.33
New York Jets,DST,NYJ,17.2,298,0.8,1.0,2.8,0.0,0.29
Carolina Panthers,DST,CAR,18.8,295,0.7,1.0,2.9,0.0,0.26
Dallas Cowboys,DST,DAL,19.8,317,1.1,1.1,3.6,0.1,0.27
Philadelphia Eagles,DST,PHI,18.2,336,1.3,0.8,2.7,0.1,0.3
New England Patriots,DST,NE,19.8,365,1.0,0.8,2.5,0.0,0.33
Kansas City Chiefs,DST,KC,24.0,417,1.5,1.0,2.3,0.0,0.45
Pittsburgh Steelers,DST,PIT,22.4,382,1.3,0.9,3.2,0.0,0.29
Arizona Cardinals,DST,ARI,18.0,304,0.8,0.8,2.5,0.1,0.2
Houston Texans,DST,HOU,18.0,303,0.9,0.8,2.2,0.0,0.24
New York Giants,DST,NYG,22.4,343,1.5,0.9,2.5,0.0,0.29
Los Angeles Rams,DST,LAR,17.6,353,1.1,0.6,1.7,0.0,0.28
Miami Dolphins,DST,MIA,18.7,323,1.0,0.8,1.2,0.0,0.33
Cincinnati Bengals,DST,CIN,22.1,299,0.9,0.5,2.0,0.0,0.2
Seattle Seahawks,DST,SEA,18.5,301,0.5,0.7,1.9,0.0,0.2
Oakland Raiders,DST,OAK,23.9,335,1.1,0.9,1.7,0.0,0.25
Green Bay Packers,DST,GB,22.6,342,0.5,1.2,2.2,0.0,0.26
Washington Redskins,DST,WAS,26.0,328,0.6,0.7,3.0,0.0,0.21
Tennessee Titans,DST,TEN,25.9,372,0.9,0.7,2.1,0.0,0.25
Denver Broncos,DST,DEN,27.1,281,1.0,0.7,2.0,0.0,0.23
Indianapolis Colts,DST,IND,25.4,328,0.8,1.1,1.5,0.0,0.23
Tampa Bay Buccaneers,DST,TB,23.8,434,0.8,1.3,0.9,0.0,0.24
Los Angeles Chargers,DST,LAC,27.2,359,0.9,1.0,2.5,0.1,0.24
Atlanta Falcons,DST,ATL,24.4,383,0.5,1.0,1.4,0.0,0.24
New Orleans Saints,DST,NO,26.4,390,0.9,0.3,1.5,0.0,0.21
Detroit Lions,DST,DET,31.9,403,0.5,0.8,1.9,0.1,0.21
Buffalo Bills,DST,BUF,27.7,353,0.6,0.7,1.5,0.0,0.17
