Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,0.0,1.0,0.0,0.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,384.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,3.0,1.0,2.0,0.0,0.0,24.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,221.0,1.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,377.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,4.0,1.0,2.0,2.0,0.0,0.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,292.0,1.0,0.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,0.0,1.0,0.0,2.0,72.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,342.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,2.0,1.0,1.0,0.0,0.0,39.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,268.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,3.0,1.0,0.0,1.0,0.0,0.0,68.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,413.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,1.0,1.0,1.0,0.0,0.0,7.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,316.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,1.0,1.0,1.0,0.0,0.0,44.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,521.0,0.0,0.0,0.0,0.0,1.0,DST
Kansas City Chiefs,KC,1.0,4.0,0.0,0.0,2.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,406.0,0.0,0.0,1.0,0.0,0.0,DST
