Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Baltimore Ravens,DST,BAL,15.8,292,1.1,0.8,3.5,0.1,0.0,0.1
Detroit Lions,DST,DET,18.5,309,1.0,0.7,2.8,0.0,0.1,0.3
Jacksonville Jaguars,DST,JAX,19.8,352,1.0,0.6,2.9,0.1,0.0,0.30000000000000004
Los Angeles Rams,DST,LAR,20.8,349,1.0,0.5,2.9,0.1,0.0,0.4
New Orleans Saints,DST,NO,19.8,328,0.9,0.6,2.9,0.0,0.0,0.2
Pittsburgh Steelers,DST,PIT,18.8,350,0.8,0.5,2.5,0.1,0.1,0.2
Philadelphia Eagles,DST,PHI,22.0,418,1.0,0.6,2.8,0.1,0.1,0.2
Minnesota Vikings,DST,MIN,20.3,380,0.9,0.5,2.8,0.1,0.0,0.30000000000000004
Green Bay Packers,DST,GB,19.5,360,0.8,0.6,2.4,0.0,0.0,0.1
New England Patriots,DST,NE,21.8,370,0.9,0.6,2.8,0.1,0.1,0.1
Denver Broncos,DST,DEN,19.8,374,0.7,0.5,2.4,0.0,0.1,0.30000000000000004
Los Angeles Chargers,DST,LAC,22.3,393,0.9,0.5,2.6,0.0,0.0,0.2
Cincinnati Bengals,DST,CIN,24.3,355,0.8,0.5,2.4,0.0,0.1,0.2
Carolina Panthers,DST,CAR,19.5,376,0.8,0.5,2.6,0.0,0.1,0.1
Tennessee Titans,DST,TEN,21.0,372,0.7,0.5,2.2,0.0,0.1,0.30000000000000004
Arizona Cardinals,DST,ARI,20.8,359,0.7,0.4,2.2,0.1,0.0,0.2
New York Giants,DST,NYG,22.8,391,0.7,0.4,1.9,0.0,0.1,0.30000000000000004
Atlanta Falcons,DST,ATL,25.5,438,0.7,0.6,2.3,0.0,0.0,0.1
Chicago Bears,DST,CHI,26.0,394,0.6,0.5,2.2,0.0,0.1,0.30000000000000004
Washington Redskins,DST,WAS,22.8,400,0.7,0.5,2.2,0.0,0.0,0.2
Dallas Cowboys,DST,DAL,22.5,383,0.8,0.6,2.7,0.0,0.0,0.0
Miami Dolphins,DST,MIA,22.5,363,0.6,0.4,1.9,0.0,0.0,0.2
Seattle Seahawks,DST,SEA,22.8,373,0.7,0.5,2.0,0.1,0.1,0.1
Cleveland Browns,DST,CLE,22.3,384,0.6,0.4,1.9,0.0,0.0,0.2
Houston Texans,DST,HOU,28.3,393,0.7,0.5,2.5,0.1,0.0,0.2
Buffalo Bills,DST,BUF,23.3,430,0.6,0.3,1.8,0.0,0.0,0.2
Kansas City Chiefs,DST,KC,25.8,408,0.7,0.5,2.1,0.0,0.0,0.1
New York Jets,DST,NYJ,25.5,425,0.6,0.4,1.7,0.0,0.0,0.1
Indianapolis Colts,DST,IND,23.3,383,0.7,0.5,2.1,0.0,0.0,0.1
San Francisco 49ers,DST,SF,26.3,394,0.7,0.4,2.0,0.0,0.0,0.1
Oakland Raiders,DST,OAK,26.8,409,0.6,0.5,2.0,0.1,0.0,0.1
Tampa Bay Buccaneers,DST,TB,29.8,434,0.5,0.4,1.9,0.0,0.1,0.2
