Player,Team,Salary
New York Jets,NYJ,2400
Minnesota Vikings,MIN,3500
Los Angeles Rams,LAR,3600
Baltimore Ravens,BAL,3800
Cleveland Browns,CLE,2000
Chicago Bears,CHI,2300
Jacksonville Jaguars,JAX,3700
Miami Dolphins,MIA,2400
Washington Redskins,WAS,2800
Denver Broncos,DEN,3300
Cincinnati Bengals,CIN,2700
Carolina Panthers,CAR,3200
Pittsburgh Steelers,PIT,3400
Tennessee Titans,TEN,2900
Philadelphia Eagles,PHI,3000
Kansas City Chiefs,KC,2300
Detroit Lions,DET,3400
Houston Texans,HOU,2200
New England Patriots,NE,2400
Tampa Bay Buccaneers,TB,2000
Atlanta Falcons,ATL,2500
Seattle Seahawks,SEA,3100
Green Bay Packers,GB,3200
Dallas Cowboys,DAL,2300
San Francisco 49ers,SF,2100
Arizona Cardinals,ARI,2500
Indianapolis Colts,IND,2400
New York Giants,NYG,2600
Oakland Raiders,OAK,2200
Buffalo Bills,BUF,3000
Los Angeles Chargers,LAC,2800
New Orleans Saints,NO,3600
