Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,343.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,1.0,1.0,2.0,1.0,0.0,63.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,380.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,2.0,0.0,1.0,1.0,0.0,0.0,184.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,369.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,6.0,2.0,1.0,2.0,0.0,0.0,9.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,306.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,4.0,3.0,3.0,3.0,0.0,0.0,61.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,2.0,2.0,1.0,0.0,52.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,475.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,0.0,1.0,2.0,0.0,0.0,44.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,362.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,1.0,1.0,1.0,0.0,0.0,128.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,1.0,DST
