Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
New Orleans Saints,DST,NO,19.8,347.1,1.4,0.7,2.8,0.0,0.3
New England Patriots,DST,NE,17.7,358.7,1.5,0.6,3.0,0.0,0.3
Pittsburgh Steelers,DST,PIT,18.0,342.3,1.0,0.8,3.5,0.0,0.2
Seattle Seahawks,DST,SEA,16.2,306.3,1.1,0.8,2.8,0.0,0.3
Green Bay Packers,DST,GB,19.9,336.6,1.0,0.6,3.1,0.1,0.2
Baltimore Ravens,DST,BAL,15.2,265.3,1.1,0.6,2.4,0.0,0.3
Minnesota Vikings,DST,MIN,19.0,333.4,1.1,0.6,2.6,0.0,0.2
Jacksonville Jaguars,DST,JAX,21.0,327.9,1.1,0.8,2.8,0.0,0.2
Los Angeles Rams,DST,LAR,18.9,324.0,0.9,0.7,2.3,0.0,0.2
Philadelphia Eagles,DST,PHI,19.4,355.5,0.9,0.7,2.4,0.0,0.2
Detroit Lions,DST,DET,24.4,366.3,0.9,0.7,2.9,0.0,0.2
Miami Dolphins,DST,MIA,20.8,316.0,1.3,0.6,2.2,0.0,0.2
Tennessee Titans,DST,TEN,22.9,344.3,1.0,0.7,2.3,0.1,0.2
Denver Broncos,DST,DEN,23.5,319.8,1.0,0.6,2.9,0.1,0.2
Los Angeles Chargers,DST,LAC,20.3,356.6,1.2,0.5,2.6,0.0,0.2
Carolina Panthers,DST,CAR,27.3,371.0,0.9,0.8,2.7,0.0,0.2
Kansas City Chiefs,DST,KC,22.5,368.4,0.9,0.7,2.5,0.0,0.2
Atlanta Falcons,DST,ATL,26.0,371.1,1.0,0.8,2.4,0.0,0.2
Dallas Cowboys,DST,DAL,21.5,316.2,0.9,0.7,2.4,0.0,0.2
New York Giants,DST,NYG,21.0,370.2,1.1,0.7,2.0,0.0,0.2
Washington Redskins,DST,WAS,23.4,355.2,0.8,0.6,2.8,0.0,0.2
Buffalo Bills,DST,BUF,20.4,303.0,1.0,0.6,2.3,0.0,0.2
Tampa Bay Buccaneers,DST,TB,28.4,431.8,0.8,0.8,1.9,0.0,0.2
Indianapolis Colts,DST,IND,22.9,333.8,0.6,0.7,2.7,0.0,0.2
Cincinnati Bengals,DST,CIN,27.4,376.7,1.0,0.4,2.4,0.1,0.2
Chicago Bears,DST,CHI,20.6,292.2,0.6,0.6,2.8,0.0,0.2
Houston Texans,DST,HOU,20.1,322.0,0.7,0.7,2.6,0.1,0.1
Arizona Cardinals,DST,ARI,24.2,348.4,0.6,0.7,2.6,0.0,0.1
San Francisco 49ers,DST,SF,29.1,371.7,0.8,0.6,2.3,0.0,0.2
New York Jets,DST,NYJ,28.3,361.5,0.7,0.6,2.0,0.0,0.2
Oakland Raiders,DST,OAK,32.9,410.2,0.7,0.7,1.8,0.0,0.2
Cleveland Browns,DST,CLE,21.4,325.7,1.0,0.5,1.6,0.0,0.2
