Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Baltimore Ravens,DST,BAL,9.2,1.4,0.6,2.4, ,0.30000000000000004
New England Patriots,DST,NE,7.7,1.1,0.4,3.2, ,0.2
Detroit Lions,DST,DET,7.4,1.0,0.5,2.7, ,0.2
Jacksonville Jaguars,DST,JAX,7.2,1.1,0.6,2.1, ,0.2
New Orleans Saints,DST,NO,7.1,1.3,0.5,1.8, ,0.2
Minnesota Vikings,DST,MIN,7.0,0.9,0.5,2.8, ,0.2
Carolina Panthers,DST,CAR,6.8,0.8,0.6,2.5, ,0.2
Tennessee Titans,DST,TEN,6.7,0.9,0.4,2.8, ,0.2
Green Bay Packers,DST,GB,6.5,0.8,0.4,2.9, ,0.2
Dallas Cowboys,DST,DAL,6.5,0.8,0.6,2.3, ,0.2
Washington Redskins,DST,WAS,6.3,0.6,0.5,2.8, ,0.2
Denver Broncos,DST,DEN,6.3,0.6,0.5,2.8, ,0.2
Los Angeles Rams,DST,LAR,5.9,0.8,0.6,1.7, ,0.2
Buffalo Bills,DST,BUF,5.8,1.0,0.5,1.4, ,0.2
Arizona Cardinals,DST,ARI,5.8,0.4,0.7,2.5, ,0.1
Pittsburgh Steelers,DST,PIT,5.8,0.4,0.4,3.1, ,0.1
Chicago Bears,DST,CHI,5.6,0.4,0.4,2.8, ,0.1
Cincinnati Bengals,DST,CIN,5.6,1.0,0.3,2.4, ,0.1
Los Angeles Chargers,DST,LAC,5.3,0.9,0.4,2.3, ,0.2
Miami Dolphins,DST,MIA,5.2,0.8,0.5,2.2, ,0.2
Philadelphia Eagles,DST,PHI,5.2,0.7,0.5,2.1, ,0.2
Atlanta Falcons,DST,ATL,5.0,0.7,0.6,1.8, ,0.2
Seattle Seahawks,DST,SEA,5.0,0.7,0.5,2.2, ,0.2
New York Giants,DST,NYG,4.8,0.9,0.5,1.3, ,0.2
Cleveland Browns,DST,CLE,4.7,0.9,0.5,1.6, ,0.2
San Francisco 49ers,DST,SF,4.5,0.8,0.4,1.6, ,0.2
Tampa Bay Buccaneers,DST,TB,4.4,0.8,0.6,1.1, ,0.2
Kansas City Chiefs,DST,KC,4.3,0.7,0.5,1.7, ,0.2
New York Jets,DST,NYJ,4.3,0.6,0.5,1.9, ,0.2
Indianapolis Colts,DST,IND,4.2,0.6,0.4,1.9, ,0.2
Oakland Raiders,DST,OAK,4.1,0.6,0.5,1.7, ,0.2
Houston Texans,DST,HOU,3.7,0.4,0.5,2.4, ,0.1
