Player,Team,Bye,Comp,Att,Yard,TD,INT,Att,Yard,TD,FPts
Aaron Rodgers,GB,8,403,610,4455,36,7,58,325,2,411.3
Tom Brady,NE,9,403,610,4760,36,8,29,50,1,393.0
Drew Brees,NO,5,445,644,4961,33,14,17,17,1,387.8
Jameis Winston,TB,1,351,565,4240,30,17,53,184,3,368.4
Russell Wilson,SEA,6,348,535,4122,27,10,85,367,2,362.8
Matt Ryan,ATL,5,367,548,4549,30,11,33,82,0,355.7
Philip Rivers,LAC,9,360,580,4350,31,15,15,27,0,344.2
Marcus Mariota,TEN,8,326,518,3884,26,11,51,322,2,342.4
Matthew Stafford,DET,7,393,595,4285,26,12,40,174,1,341.7
Andy Dalton,CIN,6,349,537,4083,25,11,46,155,2,331.7
Ben Roethlisberger,PIT,9,351,532,4205,28,14,19,26,1,330.9
Cam Newton,CAR,11,306,518,3626,23,12,67,316,4,328.9
Dak Prescott,DAL,6,314,491,3729,23,9,68,315,3,328.0
Kirk Cousins,WAS,5,365,570,4217,24,13,33,88,2,327.7
Andrew Luck,IND,11,300,484,3727,26,12,48,247,2,327.1
Derek Carr,OAK,10,360,580,4120,28,10,31,74,0,325.4
Eli Manning,NYG,8,367,574,4189,28,15,14,25,0,324.0
Carson Palmer,ARI,8,357,576,4150,27,15,4,11,0,316.6
Carson Wentz,PHI,10,350,573,3955,22,14,50,185,2,316.3
Tyrod Taylor,BUF,6,272,438,3110,19,7,81,545,5,316.0
Alex Smith,KC,10,332,503,3720,20,7,63,246,3,308.6
Joe Flacco,BAL,10,368,574,4020,22,13,18,38,2,304.8
Sam Bradford,MIN,9,356,539,3879,21,8,18,46,0,282.6
Jay Cutler,MIA,1,286,440,3256,21,14,32,135,1,266.3
Brian Hoyer,SF,11,266,444,3150,20,14,28,75,0,245.0
Trevor Siemian,DEN,5,280,458,3255,17,10,11,55,0,236.3
DeShone Kizer,CLE,9,216,372,2715,14,11,67,236,1,221.4
Blake Bortles,JAC,8,223,378,2605,16,10,33,186,1,218.9
Mike Glennon,CHI,9,234,389,2765,15,13,17,64,0,204.7
Jared Goff,LAR,8,264,463,2871,13,11,21,45,0,200.1
Josh McCown,NYJ,11,221,374,2430,13,10,35,105,1,190.0
Deshaun Watson,HOU,7,149,253,1745,9,7,57,245,2,159.8
Tom Savage,HOU,7,171,290,1882,10,6,10,11,0,135.2
Chad Henne,JAC,8,107,178,1246,7,6,18,47,0,95.0
Mitchell Trubisky,CHI,9,85,146,1025,6,4,10,24,0,77.7
Sean Mannion,LAR,8,75,128,856,7,4,11,25,0,73.3
Paxton Lynch,DEN,5,85,147,1056,4,3,16,31,0,71.9
Cody Kessler,CLE,9,68,113,760,5,4,15,37,1,67.7
Bryce Petty,NYJ,11,77,134,886,5,7,7,26,0,66.9
Scott Tolzien,IND,11,56,95,616,5,3,3,11,0,51.9
Matt Moore,MIA,1,59,96,656,3,2,4,19,0,46.7
C.J. Beathard,SF,11,39,66,452,2,2,1,7,0,31.3
Derek Anderson,CAR,11,33,50,375,2,1,3,6,0,27.4
Landry Jones,PIT,9,29,48,330,2,1,0,0,0,24.5
Drew Stanton,ARI,8,22,34,245,2,1,0,0,0,20.3
Nathan Peterman,BUF,6,21,32,237,2,1,2,4,0,20.3
Matt Cassel,TEN,8,24,43,286,1,1,3,6,0,18.9
Case Keenum,MIN,9,17,28,185,2,0,2,7,0,18.0
Patrick Mahomes,KC,10,22,37,246,1,1,3,9,0,17.2
Jimmy Garoppolo,NE,9,24,38,256,1,0,1,2,0,17.0
Christian Hackenberg,NYJ,11,21,37,246,1,2,1,4,0,16.7
Nick Foles,PHI,10,16,27,205,1,0,0,0,0,14.3
Brett Hundley,GB,8,13,24,164,1,1,0,0,0,12.2
Geno Smith,NYG,8,13,23,152,1,1,2,6,0,12.2
Ryan Fitzpatrick,TB,1,8,13,89,0,1,0,0,0,4.5
Chase Daniel,NO,5,7,12,82,0,0,1,3,0,4.4
Ryan Mallett,BAL,10,4,7,49,0,0,0,0,0,2.5
Matt Schaub,ATL,5,4,6,46,0,0,0,1,0,2.4
AJ McCarron,CIN,6,4,6,45,0,0,0,0,0,2.3
