Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Josh Adams,PHI,1.0,24.1,0.14,0.54,4.13,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Anderson,LAR,1.0,10.74,0.06,0.39,4.15,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,3.27,0.02,0.27,0.34,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kalen Ballage,MIA,1.0,8.88,0.06,0.61,5.8,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,59.51,0.36,1.37,11.41,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,81.25,0.48,6.93,56.75,0.32,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,18.24,0.14,2.13,18.08,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Kapri Bibbs,GB,1.0,13.29,0.12,1.65,14.43,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,23.35,0.12,0.52,2.96,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tommy Bohanon,JAX,1.0,0.6,0.0,0.37,2.6,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,6.09,0.04,0.59,8.36,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Breida,SF,1.0,67.21,0.48,1.64,13.03,0.07,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,1.0,17.76,0.11,0.6,4.53,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,7.35,0.05,0.96,8.59,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tra Carson,GB,1.0,3.03,0.03,0.47,3.62,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,72.93,0.73,1.35,10.86,0.06,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,1.0,24.12,0.17,1.51,13.23,0.04,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Tarik Cohen,CHI,1.0,22.85,0.16,3.81,40.65,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Derrick Coleman,ARI,1.0,0.21,0.01,0.19,0.66,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,67.87,0.44,2.62,23.02,0.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,89.64,0.61,3.94,37.24,0.17,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Isaiah Crowell,NYJ,1.0,60.19,0.4,1.67,13.57,0.06,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,3.93,0.02,0.6,4.94,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Davis,LAR,1.0,0.23,0.01,0.32,3.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,49.18,0.31,2.61,23.3,0.1,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.0,0.0,0.57,3.35,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.0,0.0,0.19,0.71,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
